timestamp,direction,src_ip,src_port,dst_ip,dst_port,protocol,size_bytes
2026-03-31 14:50:09,OUTGOING,192.168.56.103,12222,192.168.56.1,0,TCP,60
2026-03-31 14:50:09,OUTGOING,192.168.56.103,12223,192.168.56.1,0,TCP,60
2026-03-31 14:50:09,OUTGOING,192.168.56.103,12224,192.168.56.1,0,TCP,60
2026-03-31 14:50:09,OUTGOING,192.168.56.103,12225,192.168.56.1,0,TCP,60
2026-03-31 14:50:09,OUTGOING,192.168.56.103,12226,192.168.56.1,0,TCP,60
2026-03-31 14:50:09,OUTGOING,192.168.56.103,12227,192.168.56.1,0,TCP,60
2026-03-31 14:50:09,OUTGOING,192.168.56.103,12228,192.168.56.1,0,TCP,60
2026-03-31 14:50:09,OUTGOING,192.168.56.103,12229,192.168.56.1,0,TCP,60
2026-03-31 14:50:09,OUTGOING,192.168.56.103,12230,192.168.56.1,0,TCP,60
2026-03-31 14:50:09,OUTGOING,192.168.56.103,12231,192.168.56.1,0,TCP,60
2026-03-31 14:50:09,OUTGOING,192.168.56.103,12232,192.168.56.1,0,TCP,60
2026-03-31 14:50:09,OUTGOING,192.168.56.103,12233,192.168.56.1,0,TCP,60
2026-03-31 14:50:09,OUTGOING,192.168.56.103,12234,192.168.56.1,0,TCP,60
2026-03-31 14:50:09,OUTGOING,192.168.56.103,12235,192.168.56.1,0,TCP,60
2026-03-31 14:50:09,OUTGOING,192.168.56.103,12236,192.168.56.1,0,TCP,60
2026-03-31 14:50:09,OUTGOING,192.168.56.103,12237,192.168.56.1,0,TCP,60
2026-03-31 14:50:09,OUTGOING,192.168.56.103,12238,192.168.56.1,0,TCP,60
2026-03-31 14:50:09,OUTGOING,192.168.56.103,12239,192.168.56.1,0,TCP,60
2026-03-31 14:50:09,OUTGOING,192.168.56.103,12240,192.168.56.1,0,TCP,60
2026-03-31 14:50:09,OUTGOING,192.168.56.103,12241,192.168.56.1,0,TCP,60
2026-03-31 14:50:09,OUTGOING,192.168.56.103,12242,192.168.56.1,0,TCP,60
2026-03-31 14:50:09,OUTGOING,192.168.56.103,12243,192.168.56.1,0,TCP,60
2026-03-31 14:50:09,OUTGOING,192.168.56.103,12244,192.168.56.1,0,TCP,60
2026-03-31 14:50:09,OUTGOING,192.168.56.103,12245,192.168.56.1,0,TCP,60
2026-03-31 14:50:09,OUTGOING,192.168.56.103,12246,192.168.56.1,0,TCP,60
2026-03-31 14:50:09,OUTGOING,192.168.56.103,12247,192.168.56.1,0,TCP,60
2026-03-31 14:50:09,OUTGOING,192.168.56.103,12248,192.168.56.1,0,TCP,60
2026-03-31 14:50:09,OUTGOING,192.168.56.103,12249,192.168.56.1,0,TCP,60
2026-03-31 14:50:09,OUTGOING,192.168.56.103,12250,192.168.56.1,0,TCP,60
2026-03-31 14:50:09,OUTGOING,192.168.56.103,12251,192.168.56.1,0,TCP,60
2026-03-31 14:50:09,OUTGOING,192.168.56.103,12252,192.168.56.1,0,TCP,60
2026-03-31 14:50:09,OUTGOING,192.168.56.103,12253,192.168.56.1,0,TCP,60
2026-03-31 14:50:09,OUTGOING,192.168.56.103,12254,192.168.56.1,0,TCP,60
2026-03-31 14:50:09,OUTGOING,192.168.56.103,12255,192.168.56.1,0,TCP,60
2026-03-31 14:50:09,OUTGOING,192.168.56.103,12256,192.168.56.1,0,TCP,60
2026-03-31 14:50:09,OUTGOING,192.168.56.103,12257,192.168.56.1,0,TCP,60
2026-03-31 14:50:09,OUTGOING,192.168.56.103,12258,192.168.56.1,0,TCP,60
2026-03-31 14:50:09,OUTGOING,192.168.56.103,12259,192.168.56.1,0,TCP,60
2026-03-31 14:50:09,OUTGOING,192.168.56.103,12260,192.168.56.1,0,TCP,60
2026-03-31 14:50:09,OUTGOING,192.168.56.103,12261,192.168.56.1,0,TCP,60
2026-03-31 14:50:09,OUTGOING,192.168.56.103,12262,192.168.56.1,0,TCP,60
2026-03-31 14:50:09,OUTGOING,192.168.56.103,12263,192.168.56.1,0,TCP,60
2026-03-31 14:50:09,OUTGOING,192.168.56.103,12264,192.168.56.1,0,TCP,60
2026-03-31 14:50:09,OUTGOING,192.168.56.103,12265,192.168.56.1,0,TCP,60
2026-03-31 14:50:09,OUTGOING,192.168.56.103,12266,192.168.56.1,0,TCP,60
2026-03-31 14:50:09,OUTGOING,192.168.56.103,12267,192.168.56.1,0,TCP,60
2026-03-31 14:50:09,OUTGOING,192.168.56.103,12268,192.168.56.1,0,TCP,60
2026-03-31 14:50:09,OUTGOING,192.168.56.103,12269,192.168.56.1,0,TCP,60
2026-03-31 14:50:09,OUTGOING,192.168.56.103,12270,192.168.56.1,0,TCP,60
2026-03-31 14:50:09,OUTGOING,192.168.56.103,12271,192.168.56.1,0,TCP,60
2026-03-31 14:50:09,OUTGOING,192.168.56.103,12272,192.168.56.1,0,TCP,60
2026-03-31 14:50:09,OUTGOING,192.168.56.103,12273,192.168.56.1,0,TCP,60
2026-03-31 14:50:09,OUTGOING,192.168.56.103,12274,192.168.56.1,0,TCP,60
2026-03-31 14:50:09,OUTGOING,192.168.56.103,12275,192.168.56.1,0,TCP,60
2026-03-31 14:50:09,OUTGOING,192.168.56.103,12276,192.168.56.1,0,TCP,60
2026-03-31 14:50:09,OUTGOING,192.168.56.103,12277,192.168.56.1,0,TCP,60
2026-03-31 14:50:09,OUTGOING,192.168.56.103,12278,192.168.56.1,0,TCP,60
2026-03-31 14:50:09,OUTGOING,192.168.56.103,12279,192.168.56.1,0,TCP,60
2026-03-31 14:50:09,OUTGOING,192.168.56.103,12280,192.168.56.1,0,TCP,60
2026-03-31 14:50:09,OUTGOING,192.168.56.103,12281,192.168.56.1,0,TCP,60
2026-03-31 14:50:09,OUTGOING,192.168.56.103,12282,192.168.56.1,0,TCP,60
2026-03-31 14:50:09,OUTGOING,192.168.56.103,12283,192.168.56.1,0,TCP,60
2026-03-31 14:50:09,OUTGOING,192.168.56.103,12284,192.168.56.1,0,TCP,60
2026-03-31 14:50:09,OUTGOING,192.168.56.103,12285,192.168.56.1,0,TCP,60
2026-03-31 14:50:09,OUTGOING,192.168.56.103,12286,192.168.56.1,0,TCP,60
