timestamp,direction,src_ip,src_port,dst_ip,dst_port,protocol,size_bytes
2026-03-29 20:25:07,OUTGOING,192.168.31.226,N/A,224.0.0.22,N/A,OTHER,62
2026-03-29 20:25:08,OUTGOING,192.168.31.226,N/A,224.0.0.22,N/A,OTHER,62
2026-03-29 20:25:08,OUTGOING,192.168.31.73,5353,224.0.0.251,5353,UDP,119
2026-03-29 20:25:09,OUTGOING,192.168.31.226,55523,52.91.188.54,80,TCP,66
2026-03-29 20:25:12,OUTGOING,192.168.31.155,5353,224.0.0.251,5353,UDP,103
2026-03-29 20:25:12,OUTGOING,192.168.31.226,55525,52.91.188.54,80,TCP,66
2026-03-29 20:25:13,OUTGOING,192.168.31.1,N/A,224.0.0.1,N/A,OTHER,50
2026-03-29 20:25:13,OUTGOING,192.168.31.226,55526,52.91.188.54,80,TCP,66
2026-03-29 20:25:13,OUTGOING,192.168.31.226,55525,52.91.188.54,80,TCP,66
2026-03-29 20:25:13,OUTGOING,192.168.31.226,N/A,224.0.0.22,N/A,OTHER,54
2026-03-29 20:25:14,OUTGOING,192.168.31.226,N/A,224.0.0.22,N/A,OTHER,62
2026-03-29 20:25:14,OUTGOING,192.168.31.226,55526,52.91.188.54,80,TCP,66
2026-03-29 20:25:14,OUTGOING,192.168.31.226,N/A,224.0.0.22,N/A,OTHER,54
2026-03-29 20:25:15,OUTGOING,192.168.31.60,5353,224.0.0.251,5353,UDP,333
2026-03-29 20:25:15,INCOMING,0.0.0.0,68,255.255.255.255,67,UDP,342
2026-03-29 20:25:15,OUTGOING,192.168.31.60,137,192.168.31.255,137,UDP,92
2026-03-29 20:25:15,OUTGOING,192.168.31.60,5353,224.0.0.251,5353,UDP,295
2026-03-29 20:25:15,OUTGOING,192.168.31.60,137,192.168.31.255,137,UDP,110
2026-03-29 20:25:15,OUTGOING,192.168.31.60,137,192.168.31.255,137,UDP,92
2026-03-29 20:25:15,OUTGOING,192.168.31.60,5353,224.0.0.251,5353,UDP,288
2026-03-29 20:25:16,OUTGOING,192.168.31.60,5353,224.0.0.251,5353,UDP,288
2026-03-29 20:25:16,OUTGOING,192.168.31.60,5353,224.0.0.251,5353,UDP,288
2026-03-29 20:25:16,OUTGOING,192.168.31.60,5353,224.0.0.251,5353,UDP,333
2026-03-29 20:25:16,OUTGOING,192.168.31.60,5353,224.0.0.251,5353,UDP,984
2026-03-29 20:25:16,OUTGOING,192.168.31.60,5353,224.0.0.251,5353,UDP,295
2026-03-29 20:25:16,OUTGOING,192.168.31.226,55526,52.91.188.54,80,TCP,66
2026-03-29 20:25:16,OUTGOING,192.168.31.226,61501,148.113.20.117,443,TCP,55
2026-03-29 20:25:16,INCOMING,148.113.20.117,443,192.168.31.226,61501,TCP,66
2026-03-29 20:25:17,OUTGOING,192.168.31.60,137,192.168.31.255,137,UDP,92
2026-03-29 20:25:17,OUTGOING,192.168.31.60,137,192.168.31.255,137,UDP,110
2026-03-29 20:25:17,OUTGOING,192.168.31.60,137,192.168.31.255,137,UDP,92
2026-03-29 20:25:17,OUTGOING,192.168.31.60,5353,224.0.0.251,5353,UDP,984
2026-03-29 20:25:18,OUTGOING,192.168.31.60,5353,224.0.0.251,5353,UDP,333
2026-03-29 20:25:18,OUTGOING,192.168.31.60,137,192.168.31.255,137,UDP,92
2026-03-29 20:25:18,OUTGOING,192.168.31.60,137,192.168.31.255,137,UDP,110
2026-03-29 20:25:18,OUTGOING,192.168.31.60,137,192.168.31.255,137,UDP,110
2026-03-29 20:25:18,OUTGOING,192.168.31.60,137,192.168.31.255,137,UDP,92
2026-03-29 20:25:19,OUTGOING,192.168.31.1,N/A,224.0.0.1,N/A,OTHER,50
2026-03-29 20:25:19,OUTGOING,192.168.31.60,5353,224.0.0.251,5353,UDP,984
2026-03-29 20:25:19,OUTGOING,192.168.31.60,5353,224.0.0.251,5353,UDP,295
2026-03-29 20:25:19,OUTGOING,192.168.31.226,N/A,224.0.0.22,N/A,OTHER,54
2026-03-29 20:25:19,OUTGOING,192.168.31.60,137,192.168.31.255,137,UDP,110
2026-03-29 20:25:20,OUTGOING,192.168.31.226,N/A,224.0.0.22,N/A,OTHER,62
2026-03-29 20:25:20,OUTGOING,192.168.31.226,55527,52.91.188.54,80,TCP,66
2026-03-29 20:25:20,OUTGOING,192.168.31.226,N/A,224.0.0.22,N/A,OTHER,54
2026-03-29 20:25:20,OUTGOING,192.168.31.60,5353,224.0.0.251,5353,UDP,166
2026-03-29 20:25:21,OUTGOING,192.168.31.60,137,192.168.31.255,137,UDP,110
2026-03-29 20:25:21,OUTGOING,192.168.31.226,55527,52.91.188.54,80,TCP,66
2026-03-29 20:25:23,OUTGOING,192.168.31.226,55527,52.91.188.54,80,TCP,66
2026-03-29 20:25:25,OUTGOING,192.168.31.1,N/A,224.0.0.1,N/A,OTHER,50
2026-03-29 20:25:25,OUTGOING,192.168.31.226,N/A,224.0.0.22,N/A,OTHER,62
2026-03-29 20:25:26,OUTGOING,192.168.31.226,N/A,224.0.0.22,N/A,OTHER,54
2026-03-29 20:25:26,OUTGOING,192.168.31.226,N/A,224.0.0.22,N/A,OTHER,54
2026-03-29 20:25:26,OUTGOING,192.168.31.226,61501,148.113.20.117,443,TCP,55
2026-03-29 20:25:27,INCOMING,148.113.20.117,443,192.168.31.226,61501,TCP,66
2026-03-29 20:25:27,OUTGOING,192.168.31.226,55528,52.91.188.54,80,TCP,66
2026-03-29 20:25:28,OUTGOING,192.168.31.226,55528,52.91.188.54,80,TCP,66
2026-03-29 20:25:28,OUTGOING,192.168.31.73,5353,224.0.0.251,5353,UDP,119
2026-03-29 20:25:30,OUTGOING,192.168.31.212,62557,224.0.0.252,5355,UDP,75
2026-03-29 20:25:30,INCOMING,0.0.0.0,68,255.255.255.255,67,UDP,364
2026-03-29 20:25:30,OUTGOING,192.168.31.226,55528,52.91.188.54,80,TCP,66
2026-03-29 20:25:31,OUTGOING,192.168.31.212,62557,224.0.0.252,5355,UDP,75
2026-03-29 20:25:31,OUTGOING,192.168.31.1,N/A,224.0.0.252,N/A,OTHER,50
2026-03-29 20:25:31,OUTGOING,192.168.31.212,55034,224.0.0.252,5355,UDP,75
2026-03-29 20:25:31,OUTGOING,192.168.31.1,N/A,224.0.0.1,N/A,OTHER,50
2026-03-29 20:25:31,OUTGOING,192.168.31.226,N/A,224.0.0.22,N/A,OTHER,62
2026-03-29 20:25:31,OUTGOING,192.168.31.226,N/A,224.0.0.22,N/A,OTHER,54
2026-03-29 20:25:32,OUTGOING,192.168.31.212,55034,224.0.0.252,5355,UDP,75
2026-03-29 20:25:32,OUTGOING,192.168.31.226,N/A,224.0.0.22,N/A,OTHER,62
2026-03-29 20:25:32,OUTGOING,192.168.31.155,5353,224.0.0.251,5353,UDP,103
2026-03-29 20:25:34,OUTGOING,192.168.31.226,55529,52.91.188.54,80,TCP,66
2026-03-29 20:25:35,OUTGOING,192.168.31.226,55529,52.91.188.54,80,TCP,66
2026-03-29 20:25:37,OUTGOING,192.168.31.226,61501,148.113.20.117,443,TCP,55
2026-03-29 20:25:37,INCOMING,148.113.20.117,443,192.168.31.226,61501,TCP,66
2026-03-29 20:25:37,OUTGOING,192.168.31.1,N/A,224.0.0.1,N/A,OTHER,50
2026-03-29 20:25:37,OUTGOING,192.168.31.226,55529,52.91.188.54,80,TCP,66
2026-03-29 20:25:38,OUTGOING,192.168.31.226,N/A,224.0.0.22,N/A,OTHER,54
2026-03-29 20:25:38,OUTGOING,192.168.31.212,5353,224.0.0.251,5353,UDP,82
2026-03-29 20:25:38,OUTGOING,192.168.31.212,5353,224.0.0.251,5353,UDP,82
2026-03-29 20:25:38,OUTGOING,192.168.31.212,5353,224.0.0.251,5353,UDP,82
2026-03-29 20:25:38,OUTGOING,192.168.31.212,5353,224.0.0.251,5353,UDP,82
2026-03-29 20:25:38,OUTGOING,192.168.31.226,N/A,224.0.0.22,N/A,OTHER,70
2026-03-29 20:25:39,OUTGOING,192.168.31.212,5353,224.0.0.251,5353,UDP,82
2026-03-29 20:25:39,OUTGOING,192.168.31.212,5353,224.0.0.251,5353,UDP,82
2026-03-29 20:25:39,OUTGOING,192.168.31.212,5353,224.0.0.251,5353,UDP,82
2026-03-29 20:25:39,OUTGOING,192.168.31.212,5353,224.0.0.251,5353,UDP,82
2026-03-29 20:25:41,OUTGOING,192.168.31.212,5353,224.0.0.251,5353,UDP,82
2026-03-29 20:25:41,OUTGOING,192.168.31.212,5353,224.0.0.251,5353,UDP,82
2026-03-29 20:25:41,OUTGOING,192.168.31.212,5353,224.0.0.251,5353,UDP,82
2026-03-29 20:25:41,OUTGOING,192.168.31.212,5353,224.0.0.251,5353,UDP,82
2026-03-29 20:25:41,OUTGOING,192.168.31.226,55530,52.91.188.54,80,TCP,66
2026-03-29 20:25:42,OUTGOING,192.168.31.226,55530,52.91.188.54,80,TCP,66
2026-03-29 20:25:43,OUTGOING,192.168.31.1,N/A,224.0.0.1,N/A,OTHER,50
2026-03-29 20:25:43,OUTGOING,192.168.31.226,N/A,224.0.0.22,N/A,OTHER,62
2026-03-29 20:25:44,OUTGOING,192.168.31.226,N/A,224.0.0.22,N/A,OTHER,54
2026-03-29 20:25:44,OUTGOING,192.168.31.226,N/A,224.0.0.22,N/A,OTHER,54
2026-03-29 20:25:44,OUTGOING,192.168.31.226,55530,52.91.188.54,80,TCP,66
2026-03-29 20:25:45,OUTGOING,192.168.31.226,59867,239.255.255.250,1900,UDP,212
2026-03-29 20:25:45,OUTGOING,192.168.56.1,59866,239.255.255.250,1900,UDP,212
2026-03-29 20:25:46,OUTGOING,192.168.31.226,59867,239.255.255.250,1900,UDP,212
2026-03-29 20:25:46,OUTGOING,192.168.56.1,59866,239.255.255.250,1900,UDP,212
2026-03-29 20:25:47,OUTGOING,192.168.31.226,61501,148.113.20.117,443,TCP,55
2026-03-29 20:25:47,INCOMING,148.113.20.117,443,192.168.31.226,61501,TCP,66
2026-03-29 20:25:47,OUTGOING,192.168.31.226,59867,239.255.255.250,1900,UDP,212
2026-03-29 20:25:47,OUTGOING,192.168.56.1,59866,239.255.255.250,1900,UDP,212
2026-03-29 20:25:48,OUTGOING,192.168.31.231,59662,239.255.255.250,1900,UDP,212
2026-03-29 20:25:48,OUTGOING,192.168.31.226,55531,52.91.188.54,80,TCP,66
2026-03-29 20:25:48,OUTGOING,192.168.31.226,59867,239.255.255.250,1900,UDP,212
2026-03-29 20:25:48,OUTGOING,192.168.56.1,59866,239.255.255.250,1900,UDP,212
2026-03-29 20:25:49,OUTGOING,192.168.31.73,5353,224.0.0.251,5353,UDP,119
2026-03-29 20:25:49,OUTGOING,192.168.31.231,59662,239.255.255.250,1900,UDP,212
2026-03-29 20:25:49,OUTGOING,192.168.31.1,N/A,224.0.0.1,N/A,OTHER,50
2026-03-29 20:25:49,OUTGOING,192.168.31.226,N/A,224.0.0.22,N/A,OTHER,70
2026-03-29 20:25:49,OUTGOING,192.168.31.226,55531,52.91.188.54,80,TCP,66
2026-03-29 20:25:50,OUTGOING,192.168.31.231,59662,239.255.255.250,1900,UDP,212
2026-03-29 20:25:50,OUTGOING,192.168.31.226,N/A,224.0.0.22,N/A,OTHER,54
2026-03-29 20:25:51,OUTGOING,192.168.31.231,59662,239.255.255.250,1900,UDP,212
2026-03-29 20:25:51,OUTGOING,192.168.31.226,55531,52.91.188.54,80,TCP,66
2026-03-29 20:25:52,OUTGOING,192.168.31.155,5353,224.0.0.251,5353,UDP,103
2026-03-29 20:25:53,OUTGOING,192.168.56.103,34458,192.168.56.1,22,TCP,74
2026-03-29 20:25:54,OUTGOING,192.168.31.226,64809,192.168.31.1,53,UDP,95
2026-03-29 20:25:54,OUTGOING,192.168.31.226,54610,192.168.31.1,53,UDP,95
2026-03-29 20:25:54,OUTGOING,192.168.31.226,63481,192.168.31.1,53,UDP,95
2026-03-29 20:25:54,OUTGOING,192.168.31.1,53,192.168.31.226,54610,UDP,159
2026-03-29 20:25:54,OUTGOING,192.168.31.1,53,192.168.31.226,64809,UDP,207
2026-03-29 20:25:54,OUTGOING,192.168.31.1,53,192.168.31.226,63481,UDP,152
2026-03-29 20:25:54,OUTGOING,192.168.56.103,34458,192.168.56.1,22,TCP,74
2026-03-29 20:25:55,OUTGOING,192.168.56.103,34458,192.168.56.1,22,TCP,74
