timestamp,cpu_percent,memory_percent,memory_used_gb,disk_percent,disk_used_gb
2026-03-29 20:15:42,2.4,76.6,11.747512817382812,27.0,42.10640335083008
2026-03-29 20:15:47,27.1,78.1,11.977401733398438,27.0,42.10640335083008
2026-03-29 20:15:52,6.4,77.8,11.936836242675781,27.0,42.10640335083008
2026-03-29 20:15:58,1.4,77.8,11.938724517822266,27.0,42.10640335083008
2026-03-29 20:16:03,8.3,77.8,11.940292358398438,27.0,42.10640335083008
2026-03-29 20:16:08,10.7,77.6,11.898414611816406,27.0,42.10640335083008
2026-03-29 20:16:13,32.2,77.5,11.891597747802734,27.0,42.10640335083008
2026-03-29 20:16:18,19.3,77.5,11.895946502685547,27.0,42.10640335083008
2026-03-29 20:16:23,20.5,77.5,11.897407531738281,27.0,42.10640335083008
2026-03-29 20:16:28,19.2,77.5,11.887672424316406,27.0,42.10640335083008
2026-03-29 20:16:33,22.7,77.5,11.891277313232422,27.0,42.10640335083008
