timestamp,direction,src_ip,src_port,dst_ip,dst_port,protocol,size_bytes
2026-03-24 19:30:08,OUTGOING,192.168.31.226,53037,148.113.6.108,443,TCP,54
2026-03-24 19:30:08,INCOMING,148.113.6.108,443,192.168.31.226,53037,TCP,66
2026-03-24 19:30:09,OUTGOING,192.168.31.226,50063,54.82.204.217,80,TCP,66
2026-03-24 19:30:10,INCOMING,54.82.204.217,80,192.168.31.226,50063,TCP,66
2026-03-24 19:30:10,OUTGOING,192.168.31.226,50063,54.82.204.217,80,TCP,54
2026-03-24 19:30:10,OUTGOING,192.168.31.226,50063,54.82.204.217,80,TCP,294
2026-03-24 19:30:10,INCOMING,54.82.204.217,80,192.168.31.226,50063,TCP,54
2026-03-24 19:30:10,INCOMING,54.82.204.217,80,192.168.31.226,50063,TCP,54
2026-03-24 19:30:10,INCOMING,54.82.204.217,80,192.168.31.226,50063,TCP,187
2026-03-24 19:30:10,OUTGOING,192.168.31.226,50063,54.82.204.217,80,TCP,54
2026-03-24 19:30:10,OUTGOING,192.168.31.226,50063,54.82.204.217,80,TCP,54
2026-03-24 19:30:10,OUTGOING,192.168.31.226,50063,54.82.204.217,80,TCP,54
2026-03-24 19:30:10,INCOMING,54.82.204.217,80,192.168.31.226,50063,TCP,54
2026-03-24 19:30:11,OUTGOING,192.168.31.1,N/A,224.0.0.1,N/A,OTHER,50
2026-03-24 19:30:11,OUTGOING,192.168.31.226,N/A,224.0.0.22,N/A,OTHER,62
2026-03-24 19:30:12,OUTGOING,192.168.31.226,62617,20.52.64.201,443,TCP,171
2026-03-24 19:30:12,OUTGOING,192.168.31.226,62617,20.52.64.201,443,TCP,93
2026-03-24 19:30:12,OUTGOING,192.168.31.226,62617,20.52.64.201,443,TCP,1336
2026-03-24 19:30:12,OUTGOING,192.168.31.226,62617,20.52.64.201,443,TCP,1336
2026-03-24 19:30:12,OUTGOING,192.168.31.226,62617,20.52.64.201,443,TCP,1336
2026-03-24 19:30:12,OUTGOING,192.168.31.226,62617,20.52.64.201,443,TCP,1014
2026-03-24 19:30:12,OUTGOING,192.168.31.226,N/A,224.0.0.22,N/A,OTHER,54
2026-03-24 19:30:12,INCOMING,20.52.64.201,443,192.168.31.226,62617,TCP,66
2026-03-24 19:30:12,INCOMING,20.52.64.201,443,192.168.31.226,62617,TCP,66
2026-03-24 19:30:12,INCOMING,20.52.64.201,443,192.168.31.226,62617,TCP,66
2026-03-24 19:30:12,INCOMING,20.52.64.201,443,192.168.31.226,62617,TCP,66
2026-03-24 19:30:12,INCOMING,20.52.64.201,443,192.168.31.226,62617,TCP,54
2026-03-24 19:30:12,INCOMING,20.52.64.201,443,192.168.31.226,62617,TCP,93
2026-03-24 19:30:12,OUTGOING,192.168.31.226,62617,20.52.64.201,443,TCP,54
2026-03-24 19:30:12,OUTGOING,192.168.31.226,50064,54.82.204.217,80,TCP,66
2026-03-24 19:30:12,INCOMING,20.52.64.201,443,192.168.31.226,62617,TCP,153
2026-03-24 19:30:12,OUTGOING,192.168.31.226,62617,20.52.64.201,443,TCP,89
2026-03-24 19:30:12,OUTGOING,192.168.31.226,N/A,224.0.0.22,N/A,OTHER,54
2026-03-24 19:30:12,INCOMING,54.82.204.217,80,192.168.31.226,50064,TCP,66
2026-03-24 19:30:12,OUTGOING,192.168.31.226,50064,54.82.204.217,80,TCP,54
2026-03-24 19:30:12,OUTGOING,192.168.31.226,50064,54.82.204.217,80,TCP,294
2026-03-24 19:30:12,OUTGOING,192.168.31.226,62617,20.52.64.201,443,TCP,89
2026-03-24 19:30:12,INCOMING,20.52.64.201,443,192.168.31.226,62617,TCP,54
2026-03-24 19:30:13,INCOMING,20.52.64.201,443,192.168.31.226,62617,TCP,66
2026-03-24 19:30:13,INCOMING,54.82.204.217,80,192.168.31.226,50064,TCP,54
2026-03-24 19:30:13,INCOMING,54.82.204.217,80,192.168.31.226,50064,TCP,54
2026-03-24 19:30:13,OUTGOING,192.168.31.226,50064,54.82.204.217,80,TCP,54
2026-03-24 19:30:13,INCOMING,54.82.204.217,80,192.168.31.226,50064,TCP,187
2026-03-24 19:30:13,OUTGOING,192.168.31.226,50064,54.82.204.217,80,TCP,54
2026-03-24 19:30:13,OUTGOING,192.168.31.226,50064,54.82.204.217,80,TCP,54
2026-03-24 19:30:13,INCOMING,54.82.204.217,80,192.168.31.226,50064,TCP,54
2026-03-24 19:30:13,OUTGOING,192.168.31.226,64381,192.168.31.1,53,UDP,92
2026-03-24 19:30:13,OUTGOING,192.168.31.226,52544,192.168.31.1,53,UDP,92
2026-03-24 19:30:13,OUTGOING,192.168.31.1,53,192.168.31.226,52544,UDP,199
2026-03-24 19:30:14,OUTGOING,192.168.31.1,53,192.168.31.226,64381,UDP,217
2026-03-24 19:30:14,OUTGOING,192.168.31.226,50065,13.69.239.68,443,TCP,66
2026-03-24 19:30:14,INCOMING,13.69.239.68,443,192.168.31.226,50065,TCP,66
2026-03-24 19:30:14,OUTGOING,192.168.31.226,50065,13.69.239.68,443,TCP,54
2026-03-24 19:30:14,OUTGOING,192.168.31.226,50065,13.69.239.68,443,TCP,571
2026-03-24 19:30:14,INCOMING,13.69.239.68,443,192.168.31.226,50065,TCP,153
2026-03-24 19:30:14,OUTGOING,192.168.31.226,50065,13.69.239.68,443,TCP,491
2026-03-24 19:30:14,INCOMING,13.69.239.68,443,192.168.31.226,50065,TCP,1316
2026-03-24 19:30:14,INCOMING,13.69.239.68,443,192.168.31.226,50065,TCP,1316
2026-03-24 19:30:14,INCOMING,13.69.239.68,443,192.168.31.226,50065,TCP,1316
2026-03-24 19:30:14,INCOMING,13.69.239.68,443,192.168.31.226,50065,TCP,758
2026-03-24 19:30:14,OUTGOING,192.168.31.226,50065,13.69.239.68,443,TCP,54
2026-03-24 19:30:14,OUTGOING,192.168.31.226,50065,13.69.239.68,443,TCP,1336
2026-03-24 19:30:14,OUTGOING,192.168.31.226,50065,13.69.239.68,443,TCP,810
2026-03-24 19:30:14,INCOMING,13.69.239.68,443,192.168.31.226,50065,TCP,54
2026-03-24 19:30:14,INCOMING,13.69.239.68,443,192.168.31.226,50065,TCP,157
2026-03-24 19:30:14,INCOMING,13.69.239.68,443,192.168.31.226,50065,TCP,519
2026-03-24 19:30:14,OUTGOING,192.168.31.226,50065,13.69.239.68,443,TCP,54
2026-03-24 19:30:14,OUTGOING,192.168.31.226,50065,13.69.239.68,443,TCP,78
2026-03-24 19:30:14,OUTGOING,192.168.31.226,50065,13.69.239.68,443,TCP,54
2026-03-24 19:30:15,INCOMING,13.69.239.68,443,192.168.31.226,50065,TCP,54
2026-03-24 19:30:15,OUTGOING,192.168.31.226,50066,54.82.204.217,80,TCP,66
2026-03-24 19:30:15,INCOMING,54.82.204.217,80,192.168.31.226,50066,TCP,66
2026-03-24 19:30:15,OUTGOING,192.168.31.226,50066,54.82.204.217,80,TCP,54
2026-03-24 19:30:15,OUTGOING,192.168.31.226,50066,54.82.204.217,80,TCP,294
2026-03-24 19:30:15,INCOMING,18.97.36.8,443,192.168.31.226,63679,TCP,78
2026-03-24 19:30:15,OUTGOING,192.168.31.226,63679,18.97.36.8,443,TCP,82
2026-03-24 19:30:15,INCOMING,18.97.36.8,443,192.168.31.226,63679,TCP,54
2026-03-24 19:30:16,OUTGOING,192.168.31.226,50066,54.82.204.217,80,TCP,294
2026-03-24 19:30:16,INCOMING,54.82.204.217,80,192.168.31.226,50066,TCP,66
2026-03-24 19:30:16,OUTGOING,192.168.31.226,50066,54.82.204.217,80,TCP,66
2026-03-24 19:30:16,OUTGOING,192.168.31.226,50066,54.82.204.217,80,TCP,294
2026-03-24 19:30:17,OUTGOING,192.168.31.1,N/A,224.0.0.1,N/A,OTHER,50
2026-03-24 19:30:17,OUTGOING,192.168.31.226,N/A,224.0.0.22,N/A,OTHER,78
2026-03-24 19:30:17,OUTGOING,192.168.31.226,50391,91.108.56.145,443,TCP,415
2026-03-24 19:30:17,INCOMING,91.108.56.145,443,192.168.31.226,50391,TCP,54
2026-03-24 19:30:17,INCOMING,91.108.56.145,443,192.168.31.226,50391,TCP,143
2026-03-24 19:30:17,OUTGOING,192.168.31.226,50391,91.108.56.145,443,TCP,54
2026-03-24 19:30:18,OUTGOING,192.168.31.226,53037,148.113.6.108,443,TCP,55
2026-03-24 19:30:18,INCOMING,148.113.6.108,443,192.168.31.226,53037,TCP,66
2026-03-24 19:30:18,INCOMING,54.82.204.217,80,192.168.31.226,50066,TCP,66
2026-03-24 19:30:18,OUTGOING,192.168.31.226,50066,54.82.204.217,80,TCP,66
2026-03-24 19:30:18,OUTGOING,192.168.31.226,50066,54.82.204.217,80,TCP,294
2026-03-24 19:30:19,OUTGOING,192.168.31.226,62617,20.52.64.201,443,TCP,167
2026-03-24 19:30:19,OUTGOING,192.168.31.226,62617,20.52.64.201,443,TCP,1336
2026-03-24 19:30:19,OUTGOING,192.168.31.226,62617,20.52.64.201,443,TCP,1336
2026-03-24 19:30:19,OUTGOING,192.168.31.226,62617,20.52.64.201,443,TCP,1336
2026-03-24 19:30:19,OUTGOING,192.168.31.226,62617,20.52.64.201,443,TCP,1014
2026-03-24 19:30:20,INCOMING,20.52.64.201,443,192.168.31.226,62617,TCP,54
2026-03-24 19:30:20,INCOMING,20.52.64.201,443,192.168.31.226,62617,TCP,54
2026-03-24 19:30:20,INCOMING,20.52.64.201,443,192.168.31.226,62617,TCP,153
2026-03-24 19:30:20,OUTGOING,192.168.31.226,62617,20.52.64.201,443,TCP,89
2026-03-24 19:30:20,OUTGOING,192.168.31.226,50066,54.82.204.217,80,TCP,54
2026-03-24 19:30:20,OUTGOING,192.168.31.226,62617,20.52.64.201,443,TCP,89
2026-03-24 19:30:20,INCOMING,20.52.64.201,443,192.168.31.226,62617,TCP,54
2026-03-24 19:30:20,INCOMING,20.52.64.201,443,192.168.31.226,62617,TCP,66
2026-03-24 19:30:21,OUTGOING,192.168.31.226,56596,192.168.31.1,53,UDP,92
2026-03-24 19:30:21,OUTGOING,192.168.31.226,60095,192.168.31.1,53,UDP,92
2026-03-24 19:30:21,OUTGOING,192.168.31.1,53,192.168.31.226,56596,UDP,215
2026-03-24 19:30:21,OUTGOING,192.168.31.1,53,192.168.31.226,60095,UDP,264
2026-03-24 19:30:21,OUTGOING,192.168.31.226,50067,52.182.143.213,443,TCP,66
2026-03-24 19:30:21,OUTGOING,192.168.31.226,50066,54.82.204.217,80,TCP,294
2026-03-24 19:30:21,INCOMING,52.182.143.213,443,192.168.31.226,50067,TCP,66
2026-03-24 19:30:21,OUTGOING,192.168.31.226,50067,52.182.143.213,443,TCP,54
2026-03-24 19:30:21,OUTGOING,192.168.31.226,50067,52.182.143.213,443,TCP,571
2026-03-24 19:30:22,INCOMING,52.182.143.213,443,192.168.31.226,50067,TCP,153
2026-03-24 19:30:22,OUTGOING,192.168.31.226,50067,52.182.143.213,443,TCP,491
2026-03-24 19:30:22,OUTGOING,192.168.31.226,50068,54.82.204.217,80,TCP,66
2026-03-24 19:30:22,INCOMING,52.182.143.213,443,192.168.31.226,50067,TCP,1316
2026-03-24 19:30:22,INCOMING,52.182.143.213,443,192.168.31.226,50067,TCP,1316
2026-03-24 19:30:22,INCOMING,52.182.143.213,443,192.168.31.226,50067,TCP,1316
2026-03-24 19:30:22,INCOMING,52.182.143.213,443,192.168.31.226,50067,TCP,759
2026-03-24 19:30:22,OUTGOING,192.168.31.226,50067,52.182.143.213,443,TCP,54
2026-03-24 19:30:22,OUTGOING,192.168.31.226,50067,52.182.143.213,443,TCP,1336
