timestamp,cpu_percent,memory_percent,memory_used_gb,disk_percent,disk_used_gb
2026-03-29 20:16:50,33.8,77.4,11.87579345703125,27.0,42.106449127197266
2026-03-29 20:16:55,25.9,77.5,11.896976470947266,27.0,42.106449127197266
2026-03-29 20:17:00,24.3,77.4,11.880596160888672,27.0,42.106449127197266
2026-03-29 20:17:05,18.3,77.4,11.880714416503906,27.0,42.106449127197266
2026-03-29 20:17:11,5.3,77.4,11.876392364501953,27.0,42.106449127197266
2026-03-29 20:17:16,1.2,77.4,11.87579345703125,27.0,42.106449127197266
2026-03-29 20:17:21,1.4,77.4,11.870643615722656,27.0,42.106449127197266
2026-03-29 20:17:26,4.2,77.4,11.869831085205078,27.0,42.106449127197266
2026-03-29 20:17:31,5.7,77.4,11.869762420654297,27.0,42.106449127197266
2026-03-29 20:17:36,2.9,76.9,11.796710968017578,27.0,42.106449127197266
2026-03-29 20:17:41,5.8,76.9,11.790611267089844,27.0,42.106449127197266
2026-03-29 20:17:46,3.8,76.9,11.791496276855469,27.0,42.106449127197266
2026-03-29 20:17:51,4.2,76.9,11.7940673828125,27.0,42.106449127197266
2026-03-29 20:17:56,21.1,77.1,11.833850860595703,27.0,42.106449127197266
2026-03-29 20:18:02,6.0,77.2,11.843505859375,27.0,42.106449127197266
2026-03-29 20:18:07,5.6,77.3,11.854476928710938,27.0,42.106449127197266
2026-03-29 20:18:12,1.3,77.2,11.849952697753906,27.0,42.106449127197266
2026-03-29 20:18:17,5.6,77.3,11.854930877685547,27.0,42.106449127197266
2026-03-29 20:18:22,3.9,77.3,11.85268783569336,27.0,42.106449127197266
2026-03-29 20:18:27,4.4,77.3,11.852176666259766,27.0,42.106449127197266
2026-03-29 20:18:32,2.7,77.2,11.836406707763672,27.0,42.106449127197266
2026-03-29 20:18:37,0.0,75.5,11.577537536621094,27.0,42.106449127197266
2026-03-29 20:18:42,6.0,75.6,11.596027374267578,27.0,42.106449127197266
2026-03-29 20:18:47,3.9,75.7,11.6068115234375,27.0,42.106449127197266
2026-03-29 20:18:53,12.0,75.7,11.619548797607422,27.0,42.106449127197266
2026-03-29 20:18:58,13.0,75.8,11.627971649169922,27.0,42.106449127197266
2026-03-29 20:19:03,11.5,76.0,11.655323028564453,27.0,42.106449127197266
2026-03-29 20:19:08,14.5,76.1,11.667949676513672,27.0,42.106449127197266
2026-03-29 20:19:13,12.7,76.2,11.693492889404297,27.0,42.106449127197266
