timestamp,pid,name,cpu_percent,memory_percent
2026-03-31 14:45:27,0,System Idle Process,0,4.972916254847039e-05
2026-03-31 14:45:27,4,System,0,0.0009945832509694079
2026-03-31 14:45:27,188,,0,0.0007708020195012911
2026-03-31 14:45:27,232,Registry,0,0.4621828367254838
2026-03-31 14:45:27,576,AMDRSServ.exe,0,0.5847154932449149
2026-03-31 14:45:37,0,System Idle Process,957.2,4.972916254847039e-05
2026-03-31 14:45:37,8756,chrome.exe,52.1,2.4490120680245213
2026-03-31 14:45:37,14392,VirtualBoxVM.exe,42.6,12.24314576736449
2026-03-31 14:45:37,1912,dwm.exe,26.1,0.730720314487224
2026-03-31 14:45:37,4,System,14.5,0.0009945832509694079
2026-03-31 14:45:47,0,System Idle Process,910.9,4.972916254847039e-05
2026-03-31 14:45:47,14392,VirtualBoxVM.exe,100.7,12.394819713137325
2026-03-31 14:45:47,8756,chrome.exe,54.3,2.4473958702416962
2026-03-31 14:45:47,11148,explorer.exe,24.9,2.276402144818781
2026-03-31 14:45:47,1912,dwm.exe,15.4,0.6732334025811921
2026-03-31 14:45:57,0,System Idle Process,952.5,4.972916254847039e-05
2026-03-31 14:45:57,14392,VirtualBoxVM.exe,65.2,12.424135054459649
2026-03-31 14:45:57,8756,chrome.exe,42.6,2.452020682358704
2026-03-31 14:45:57,4,System,30.5,0.0009945832509694079
2026-03-31 14:45:57,16780,python.exe,11.2,0.6285268854501173
2026-03-31 14:46:07,0,System Idle Process,932.0,4.972916254847039e-05
2026-03-31 14:46:07,8756,chrome.exe,56.4,2.4645772959021928
2026-03-31 14:46:07,14392,VirtualBoxVM.exe,42.0,12.424284241947294
2026-03-31 14:46:07,1912,dwm.exe,19.1,0.7161745344417964
2026-03-31 14:46:07,16780,python.exe,13.5,0.6317344164344936
2026-03-31 14:46:17,0,System Idle Process,945.0,4.972916254847039e-05
2026-03-31 14:46:17,8756,chrome.exe,51.5,2.458361150583634
2026-03-31 14:46:17,14392,VirtualBoxVM.exe,39.2,12.430077689384191
2026-03-31 14:46:17,1912,dwm.exe,24.1,0.743625032168552
2026-03-31 14:46:17,4,System,23.9,0.0009945832509694079
2026-03-31 14:46:27,0,System Idle Process,1008.7,4.972916254847039e-05
2026-03-31 14:46:27,14392,VirtualBoxVM.exe,45.6,12.424831262735328
2026-03-31 14:46:27,8756,chrome.exe,40.8,2.4621654315185917
2026-03-31 14:46:27,16780,python.exe,12.5,0.6385224471223598
2026-03-31 14:46:27,4,System,10.3,0.0009945832509694079
2026-03-31 14:46:37,0,System Idle Process,983.9,4.972916254847039e-05
2026-03-31 14:46:37,3884,msedgewebview2.exe,47.6,2.897966947512112
2026-03-31 14:46:37,14392,VirtualBoxVM.exe,41.5,12.431320918447904
2026-03-31 14:46:37,8756,chrome.exe,28.2,2.4541093071857394
2026-03-31 14:46:37,4,System,14.0,0.0009945832509694079
2026-03-31 14:46:47,0,System Idle Process,967.0,4.972916254847039e-05
2026-03-31 14:46:47,14392,VirtualBoxVM.exe,44.2,12.435871136821088
2026-03-31 14:46:47,8756,chrome.exe,40.3,2.4587341193027474
2026-03-31 14:46:47,4,System,23.2,0.0009945832509694079
2026-03-31 14:46:47,3884,msedgewebview2.exe,19.3,2.997151762215036
2026-03-31 14:46:57,0,System Idle Process,933.2,4.972916254847039e-05
2026-03-31 14:46:57,14392,VirtualBoxVM.exe,65.6,12.443131594553165
2026-03-31 14:46:57,8756,chrome.exe,60.5,2.4681826601869568
2026-03-31 14:46:57,1912,dwm.exe,25.1,0.6899672657787524
2026-03-31 14:46:57,16780,python.exe,14.0,0.6285020208688431
2026-03-31 14:47:07,0,System Idle Process,936.0,4.972916254847039e-05
2026-03-31 14:47:07,14392,VirtualBoxVM.exe,72.3,12.456459010116156
2026-03-31 14:47:07,8756,chrome.exe,56.5,2.468232389349505
2026-03-31 14:47:07,1912,dwm.exe,23.0,0.6642572887411933
2026-03-31 14:47:07,16780,python.exe,15.7,0.6285268854501173
2026-03-31 14:47:17,0,System Idle Process,988.5,4.972916254847039e-05
2026-03-31 14:47:17,14392,VirtualBoxVM.exe,57.6,12.46623079055693
2026-03-31 14:47:17,8756,chrome.exe,33.6,2.4640551396954335
2026-03-31 14:47:17,16780,python.exe,24.9,0.6335495308675128
2026-03-31 14:47:17,1912,dwm.exe,10.6,0.6644064762288386
